,Title,Company,Experience,Location,Pay,Description
24,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
25,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
26,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
27,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
28,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
29,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
30,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
31,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
32,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
33,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
34,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
35,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
36,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
37,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
38,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
39,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
40,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
41,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
42,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
43,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
44,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
45,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
46,Business Analyst-Qliksense,Novo Nordisk Centre (India) Pvt Ltd,3-5 Yrs,Bengaluru,Not disclosed,qlik sense qlikview
47,Business Intelligence Analyst,Franklin Templeton International,2-6 Yrs,Hyderabad,Not disclosed,Data management Process improvement Analytical Workflow VB Macros Information technology Analytics
48,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
49,Sr IT Business Analyst,Motorola Solutions,5-8 Yrs,Bengaluru(Manayata Tech Park),"8,50,000 - 14,00,000 PA.",Enterprise Architecture Data Quality Cloud Computing Data Analysis agile Data Architecture Tableau JIRA
50,Business Analyst,Think and Learn Private Limited,2-4 Yrs,Bengaluru(Bhavani Nagar),Not disclosed,primary research secondary research business modeling advanced excel presentation skills business analysis international business market research
51,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
52,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
53,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
54,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
55,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
56,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
57,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
58,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
59,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
60,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
61,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
62,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
63,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
64,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
65,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
66,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
67,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
68,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
69,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
70,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
71,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
72,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
73,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
74,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
75,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
76,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
77,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
78,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
79,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
80,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
81,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
82,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
83,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
84,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
85,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
86,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
87,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
88,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
89,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
90,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
91,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
92,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
93,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
94,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
95,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
96,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
97,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
98,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
99,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
100,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
101,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
102,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
103,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
104,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
105,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
106,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
107,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
108,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
109,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
110,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
111,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
112,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
113,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
114,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
115,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
116,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
117,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
118,Business Analyst - Mumbai,RANDSTAD INDIA PVT LTD,3-8 Yrs,Mumbai,"5,00,000 - 8,00,000 PA.",work from home User test Banking Process Investment Banking Write test scripts Technofunctional UAT Business Analysis
119,Business Analyst,Teamware Solutions ( A division of Quantum Leap Consulting Private LTD).,2-6 Yrs,"Mumbai Suburbs, Mumbai","4,00,000 - 9,00,000 PA.",Internal Audit Metrics Reporting Excel Powerpoint Business Analyst Process Mapping Finance Operational Risk Management Rcsa
120,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
121,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
122,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
123,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
124,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
125,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
126,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
127,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
128,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
129,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
130,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
131,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
132,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
133,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
134,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
135,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
136,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
137,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
138,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
139,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
140,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
141,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
142,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
143,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
